2021-08-15 15:19:43 INFO  Listener:48 - Browser Açıldı
2021-08-15 15:19:46 INFO  Listener:14 - Google Açıldı
2021-08-15 15:19:51 ERROR Listener:28 -  fail
2021-08-15 15:19:51 INFO  Listener:56 - Browser Kapatıldı
2021-08-15 15:23:39 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:23:41 INFO  Listener:16 - Google Açıldı
2021-08-15 15:23:46 ERROR Listener:30 -  fail
2021-08-15 15:23:46 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:30:55 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:30:59 INFO  Listener:16 - Google Açıldı
2021-08-15 15:31:02 ERROR Listener:30 -  fail
2021-08-15 15:31:02 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:34:42 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:34:46 INFO  Listener:16 - Google Açıldı
2021-08-15 15:34:50 ERROR Listener:30 -  fail
2021-08-15 15:34:50 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:36:57 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:37:00 INFO  Listener:16 - Google Açıldı
2021-08-15 15:37:05 ERROR Listener:30 -  fail
2021-08-15 15:37:05 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:38:27 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:38:29 INFO  Listener:16 - Google Açıldı
2021-08-15 15:38:34 ERROR Listener:30 -  fail
2021-08-15 15:38:34 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:39:56 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:39:59 INFO  Listener:16 - Google Açıldı
2021-08-15 15:40:03 ERROR Listener:30 -  fail
2021-08-15 15:40:03 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:41:23 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:41:26 INFO  Listener:16 - Google Açıldı
2021-08-15 15:41:31 ERROR Listener:30 -  fail
2021-08-15 15:41:31 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:43:51 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:43:54 INFO  Listener:16 - Google Açıldı
2021-08-15 15:43:58 ERROR Listener:30 -  fail
2021-08-15 15:43:58 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:50:39 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:50:42 INFO  Listener:16 - Google Açıldı
2021-08-15 15:50:52 ERROR Listener:30 -  fail
2021-08-15 15:50:52 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:54:38 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:54:42 INFO  Listener:16 - Google Açıldı
2021-08-15 15:54:46 ERROR Listener:30 -  fail
2021-08-15 15:54:46 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 15:56:22 INFO  Listener:50 - Browser Açıldı
2021-08-15 15:56:26 INFO  Listener:16 - Google Açıldı
2021-08-15 15:56:30 INFO  Listener:23 -  Başarılı
2021-08-15 15:56:30 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:00:40 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:00:44 INFO  Listener:16 - Google Açıldı
2021-08-15 17:00:47 ERROR Listener:30 -  fail
2021-08-15 17:00:47 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:01:00 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:01:03 INFO  Listener:16 - Google Açıldı
2021-08-15 17:01:08 INFO  Listener:23 -  Başarılı
2021-08-15 17:01:08 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:02:11 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:02:13 INFO  Listener:16 - Google Açıldı
2021-08-15 17:02:19 INFO  Listener:23 -  Başarılı
2021-08-15 17:02:19 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:20:57 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:21:19 INFO  Listener:16 - Google Açıldı
2021-08-15 17:21:45 ERROR Listener:30 -  fail
2021-08-15 17:21:45 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:22:59 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:23:02 INFO  Listener:16 - Google Açıldı
2021-08-15 17:23:30 ERROR Listener:30 -  fail
2021-08-15 17:23:30 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:27:49 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:27:53 INFO  Listener:16 - Google Açıldı
2021-08-15 17:28:32 ERROR Listener:30 -  fail
2021-08-15 17:28:32 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:34:14 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:34:17 INFO  Listener:16 - Google Açıldı
2021-08-15 17:34:21 ERROR Listener:30 -  fail
2021-08-15 17:34:21 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:34:31 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:34:35 INFO  Listener:16 - Google Açıldı
2021-08-15 17:35:14 ERROR Listener:30 -  fail
2021-08-15 17:35:14 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:38:28 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:38:40 INFO  Listener:16 - Google Açıldı
2021-08-15 17:39:25 ERROR Listener:30 -  fail
2021-08-15 17:39:25 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:39:55 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:39:59 INFO  Listener:16 - Google Açıldı
2021-08-15 17:40:03 ERROR Listener:30 -  fail
2021-08-15 17:40:03 INFO  Listener:60 - Browser Kapatıldı
2021-08-15 17:41:53 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:41:57 INFO  Listener:16 - Google Açıldı
2021-08-15 17:42:01 ERROR Listener:30 -  fail
2021-08-15 17:42:01 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:43:27 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:43:30 INFO  Listener:16 - Google Açıldı
2021-08-15 17:43:44 ERROR Listener:30 -  fail
2021-08-15 17:43:44 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:47:54 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:47:57 INFO  Listener:16 - Google Açıldı
2021-08-15 17:48:12 ERROR Listener:30 -  fail
2021-08-15 17:48:12 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:49:44 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:49:46 INFO  Listener:16 - Google Açıldı
2021-08-15 17:49:50 ERROR Listener:30 -  fail
2021-08-15 17:49:50 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:50:01 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:50:04 INFO  Listener:16 - Google Açıldı
2021-08-15 17:50:18 INFO  Listener:23 -  Başarılı
2021-08-15 17:50:18 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:50:51 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:50:57 INFO  Listener:16 - Google Açıldı
2021-08-15 17:51:12 INFO  Listener:23 -  Başarılı
2021-08-15 17:51:12 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:57:14 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:57:16 INFO  Listener:16 - Google Açıldı
2021-08-15 17:57:30 INFO  Listener:23 -  Başarılı
2021-08-15 17:57:30 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 17:58:45 INFO  Listener:50 - Browser Açıldı
2021-08-15 17:58:48 INFO  Listener:16 - Google Açıldı
2021-08-15 17:59:02 INFO  Listener:23 -  Başarılı
2021-08-15 17:59:02 INFO  Listener:61 - Browser Kapatıldı
2021-08-15 18:01:23 INFO  Listener:50 - Browser Açıldı
2021-08-15 18:01:27 INFO  Listener:16 - Google Açıldı
2021-08-15 18:02:11 ERROR Listener:30 -  fail
2021-08-15 18:02:11 INFO  Listener:61 - Browser Kapatıldı
